pgr_id,pgr_name,Cannabis_free_m2,Cannabis_free_perc
0830,Gropiusstadt,2146826,80.8
0230,Kreuzberg Ost,2128478,77.1
0210,Kreuzberg Nord,2258290,76.8
1020,Hellersdorf,6116720,75.3
0370,Südlicher Prenzlauer Berg,2265345,74.8
0130,Gesundbrunnen,4251517,74.8
0720,Schöneberg Süd,2254763,67.2
0220,Kreuzberg Süd,3133298,66.1
0360,Nördlicher Prenzlauer Berg,5296290,65.9
1260,Märkisches Viertel,3058207,64.0
0240,Friedrichshain West,2918938,63.8
0250,Friedrichshain Ost,3278920,61.1
0710,Schöneberg Nord,1715462,60.3
0810,Neukölln,6804278,58.2
0730,Friedenau,2647781,57.5
1140,Lichtenberg Mitte,4343791,57.3
0350,Südliches Weißensee,4234413,53.3
0140,Wedding,4960491,51.5
0610,Steglitz,3472546,51.2
0340,Südliches Pankow,6529728,50.8
1130,Lichtenberg Nord,4783977,50.2
0120,Moabit,4037117,49.1
1210,Reinickendorf Ost,3689106,48.8
1010,Marzahn,8680379,44.4
0450,Wilmersdorf Zentrum,3749041,44.2
0430,Charlottenburg Zentrum,3826210,41.2
1120,Hohenschönhausen Süd,3808157,40.7
0110,Zentrum,6299810,39.8
0620,Lankwitz/Lichterfelde Ost,5795206,38.8
0410,Charlottenburg Nord,2221783,38.4
0820,Britz/Buckow,6542047,38.2
1150,Lichtenberg Süd,3290991,36.6
0750,Mariendorf,3320170,35.4
0440,Wilmersdorf Süd,3939218,33.8
0920,Treptow-Köpenick 2,6329620,33.0
0630,Zehlendorf Süd/Lichterfelde West,5878219,32.1
1110,Hohenschönhausen Nord,5261686,31.6
0760,Marienfelde / Lichtenrade,5929822,30.9
0740,Tempelhof,3908259,28.6
0910,Treptow-Köpenick 1,4891210,28.5
1250,Wittenau/Borsigwalde,4338258,27.3
0520,Wilhelmstadt / Staaken,6240512,27.1
0840,Buckow Nord/Rudow,3487952,26.0
1030,Biesdorf,2932809,23.7
0530,Haselhorst / Siemensstadt,2447660,23.6
1220,Tegel,4026908,22.0
0510,Spandau Mitte / Nord,7188173,21.4
0420,Charlottenburg West,5680720,19.3
0640,Zehlendorf Nord/Wannsee,10689706,17.1
0330,Nördliches Weißensee,3781349,17.0
1040,Kaulsdorf/Mahlsdorf,3226829,14.8
0320,Nördliches Pankow,3754940,14.4
0540,Gatow / Kladow,3495915,14.1
1240,Grüner Norden,5748467,13.4
0930,Treptow-Köpenick 3,5384304,13.2
0950,Treptow-Köpenick 5,5580661,12.1
0310,Buch,2170969,9.5
0940,Treptow-Köpenick 4,3449308,7.8
