PGR_NAME,Anzahl
Biesdorf,30974
Britz/Buckow,73779
Buch,17731
Buckow Nord/Rudow,53869
Charlottenburg Nord,19420
Charlottenburg West,41014
Charlottenburg Zentrum,109411
Friedenau,47014
Friedrichshain Ost,88473
Friedrichshain West,52765
Gatow / Kladow,20053
Gesundbrunnen,79249
Gropiusstadt,38634
Grüner Norden,57543
Haselhorst / Siemensstadt,32783
Hellersdorf,92913
Hohenschönhausen Nord,65337
Hohenschönhausen Süd,51898
Kaulsdorf/Mahlsdorf,50247
Kreuzberg Nord,41327
Kreuzberg Ost,46105
Kreuzberg Süd,64784
Lankwitz/Lichterfelde Ost,80429
Lichtenberg Mitte,79994
Lichtenberg Nord,79031
Lichtenberg Süd,35621
Mariendorf,53559
Marienfelde / Lichtenrade,84746
Marzahn,117814
Moabit,90064
Märkisches Viertel,50583
Neukölln,163735
Nördlicher Prenzlauer Berg,107999
Nördliches Pankow,48670
Nördliches Weißensee,37099
Reinickendorf Ost,56440
Schöneberg Nord,50235
Schöneberg Süd,52766
Spandau Mitte / Nord,112228
Steglitz,76265
Südlicher Prenzlauer Berg,60948
Südliches Pankow,94897
Südliches Weißensee,56963
Tegel,55580
Tempelhof,67548
Treptow-Köpenick 1,65224
Treptow-Köpenick 2,74888
Treptow-Köpenick 3,59178
Treptow-Köpenick 4,39280
Treptow-Köpenick 5,55511
Wedding,103509
Wilhelmstadt / Staaken,92027
Wilmersdorf Süd,54489
Wilmersdorf Zentrum,118747
Wittenau/Borsigwalde,48646
Zehlendorf Nord/Wannsee,69576
Zehlendorf Süd/Lichterfelde West,84176
Zentrum,124312
