pgr_id,pgr_name,area_km2
0640,Zehlendorf Nord/Wannsee,62.46
0950,Treptow-Köpenick 5,46.22
0940,Treptow-Köpenick 4,44.42
1240,Grüner Norden,42.74
0930,Treptow-Köpenick 3,40.67
0510,Spandau Mitte / Nord,33.57
0420,Charlottenburg West,29.44
0320,Nördliches Pankow,26.12
0540,Gatow / Kladow,24.88
0520,Wilhelmstadt / Staaken,23.01
0310,Buch,22.97
0330,Nördliches Weißensee,22.21
1040,Kaulsdorf/Mahlsdorf,21.73
1010,Marzahn,19.53
0920,Treptow-Köpenick 2,19.19
0760,Marienfelde / Lichtenrade,19.18
0630,Zehlendorf Süd/Lichterfelde West,18.34
1220,Tegel,18.33
0910,Treptow-Köpenick 1,17.14
0820,Britz/Buckow,17.11
1110,Hohenschönhausen Nord,16.64
1250,Wittenau/Borsigwalde,15.87
0110,Zentrum,15.84
0620,Lankwitz/Lichterfelde Ost,14.93
0740,Tempelhof,13.66
0840,Buckow Nord/Rudow,13.44
0340,Südliches Pankow,12.84
1030,Biesdorf,12.4
0810,Neukölln,11.7
0440,Wilmersdorf Süd,11.66
0530,Haselhorst / Siemensstadt,10.38
0140,Wedding,9.63
1130,Lichtenberg Nord,9.54
0750,Mariendorf,9.37
1120,Hohenschönhausen Süd,9.35
0430,Charlottenburg Zentrum,9.29
1150,Lichtenberg Süd,8.98
0450,Wilmersdorf Zentrum,8.49
0120,Moabit,8.22
1020,Hellersdorf,8.12
0360,Nördlicher Prenzlauer Berg,8.04
0350,Südliches Weißensee,7.94
1140,Lichtenberg Mitte,7.59
1210,Reinickendorf Ost,7.56
0610,Steglitz,6.78
0410,Charlottenburg Nord,5.79
0130,Gesundbrunnen,5.68
0250,Friedrichshain Ost,5.37
1260,Märkisches Viertel,4.78
0220,Kreuzberg Süd,4.74
0730,Friedenau,4.6
0240,Friedrichshain West,4.58
0720,Schöneberg Süd,3.36
0370,Südlicher Prenzlauer Berg,3.03
0210,Kreuzberg Nord,2.94
0710,Schöneberg Nord,2.85
0230,Kreuzberg Ost,2.76
0830,Gropiusstadt,2.66
