pgr_id,pgr_name,no_Imbiss
0810,Neukölln,400
0110,Zentrum,355
0250,Friedrichshain Ost,222
0450,Wilmersdorf Zentrum,200
0120,Moabit,200
0230,Kreuzberg Ost,198
0140,Wedding,187
0220,Kreuzberg Süd,180
0430,Charlottenburg Zentrum,179
0130,Gesundbrunnen,150
0360,Nördlicher Prenzlauer Berg,132
0370,Südlicher Prenzlauer Berg,120
0720,Schöneberg Süd,102
0240,Friedrichshain West,98
0710,Schöneberg Nord,97
1220,Tegel,96
0210,Kreuzberg Nord,89
0510,Spandau Mitte / Nord,80
0740,Tempelhof,77
0820,Britz/Buckow,73
0520,Wilhelmstadt / Staaken,69
0920,Treptow-Köpenick 2,65
0750,Mariendorf,58
0630,Zehlendorf Süd/Lichterfelde West,57
0730,Friedenau,57
1010,Marzahn,54
0760,Marienfelde / Lichtenrade,53
0840,Buckow Nord/Rudow,52
0910,Treptow-Köpenick 1,50
0340,Südliches Pankow,48
0610,Steglitz,48
1130,Lichtenberg Nord,41
1210,Reinickendorf Ost,41
1250,Wittenau/Borsigwalde,40
0350,Südliches Weißensee,39
0950,Treptow-Köpenick 5,39
1020,Hellersdorf,38
1140,Lichtenberg Mitte,37
0640,Zehlendorf Nord/Wannsee,37
0620,Lankwitz/Lichterfelde Ost,37
0420,Charlottenburg West,32
1120,Hohenschönhausen Süd,32
0930,Treptow-Köpenick 3,30
0530,Haselhorst / Siemensstadt,29
1260,Märkisches Viertel,29
1240,Grüner Norden,29
1110,Hohenschönhausen Nord,27
0940,Treptow-Köpenick 4,23
0440,Wilmersdorf Süd,22
0330,Nördliches Weißensee,21
0320,Nördliches Pankow,20
0830,Gropiusstadt,20
1040,Kaulsdorf/Mahlsdorf,15
1030,Biesdorf,13
0540,Gatow / Kladow,6
0410,Charlottenburg Nord,6
1150,Lichtenberg Süd,4
0310,Buch,4
