pgr_id,pgr_name,unique_f_streets,unique_m_streets,unique_streets_count,fStreets_percent
0110,Zentrum,49,166,215,22
0120,Moabit,22,63,85,25
0630,Zehlendorf Süd/Lichterfelde West,17,133,150,11
0430,Charlottenburg Zentrum,16,124,140,11
1020,Hellersdorf,16,30,46,34
0840,Buckow Nord/Rudow,14,29,43,32
1150,Lichtenberg Süd,14,39,53,26
0620,Lankwitz/Lichterfelde Ost,13,96,109,11
0340,Südliches Pankow,12,80,92,13
0510,Spandau Mitte / Nord,11,75,86,12
0920,Treptow-Köpenick 2,11,129,140,7
0240,Friedrichshain West,10,36,46,21
0360,Nördlicher Prenzlauer Berg,10,93,103,9
0540,Gatow / Kladow,9,68,77,11
0320,Nördliches Pankow,9,58,67,13
0930,Treptow-Köpenick 3,9,43,52,17
1140,Lichtenberg Mitte,9,40,49,18
0640,Zehlendorf Nord/Wannsee,9,181,190,4
0440,Wilmersdorf Süd,8,75,83,9
1010,Marzahn,8,30,38,21
1120,Hohenschönhausen Süd,8,31,39,20
0730,Friedenau,8,64,72,11
0720,Schöneberg Süd,8,43,51,15
0530,Haselhorst / Siemensstadt,7,34,41,17
0370,Südlicher Prenzlauer Berg,7,25,32,21
0710,Schöneberg Nord,7,44,51,13
0250,Friedrichshain Ost,7,75,82,8
0740,Tempelhof,7,94,101,6
0350,Südliches Weißensee,6,55,61,9
0830,Gropiusstadt,6,31,37,16
0950,Treptow-Köpenick 5,5,66,71,7
1110,Hohenschönhausen Nord,5,11,16,31
0210,Kreuzberg Nord,5,36,41,12
0450,Wilmersdorf Zentrum,5,75,80,6
1030,Biesdorf,5,23,28,17
0940,Treptow-Köpenick 4,5,29,34,14
0230,Kreuzberg Ost,5,22,27,18
1220,Tegel,5,65,70,7
0760,Marienfelde / Lichtenrade,5,132,137,3
0420,Charlottenburg West,4,52,56,7
0410,Charlottenburg Nord,4,51,55,7
0330,Nördliches Weißensee,4,23,27,14
0220,Kreuzberg Süd,4,68,72,5
0610,Steglitz,4,116,120,3
0520,Wilhelmstadt / Staaken,3,88,91,3
1240,Grüner Norden,3,41,44,6
1130,Lichtenberg Nord,3,49,52,5
0310,Buch,3,18,21,14
1040,Kaulsdorf/Mahlsdorf,3,104,107,2
0910,Treptow-Köpenick 1,3,84,87,3
0810,Neukölln,3,94,97,3
0130,Gesundbrunnen,2,36,38,5
1250,Wittenau/Borsigwalde,2,64,66,3
0140,Wedding,1,39,40,2
0820,Britz/Buckow,1,49,50,2
1210,Reinickendorf Ost,1,43,44,2
0750,Mariendorf,0,38,38,0
1260,Märkisches Viertel,0,2,2,0
