pgr_id,pgr_name,Einwohnerzahl
0810,Neukölln,162700
0110,Zentrum,124331
1010,Marzahn,118714
0450,Wilmersdorf Zentrum,118420
0510,Spandau Mitte / Nord,112355
0430,Charlottenburg Zentrum,109830
0360,Nördlicher Prenzlauer Berg,108165
0140,Wedding,102856
0340,Südliches Pankow,95050
1020,Hellersdorf,93074
0520,Wilhelmstadt / Staaken,91916
0120,Moabit,89877
0250,Friedrichshain Ost,88095
0760,Marienfelde / Lichtenrade,84865
0630,Zehlendorf Süd/Lichterfelde West,83901
0620,Lankwitz/Lichterfelde Ost,80660
1140,Lichtenberg Mitte,80312
1130,Lichtenberg Nord,78911
0130,Gesundbrunnen,78592
0610,Steglitz,76193
0920,Treptow-Köpenick 2,75237
0820,Britz/Buckow,74103
0640,Zehlendorf Nord/Wannsee,69373
0740,Tempelhof,67417
0910,Treptow-Köpenick 1,65660
1110,Hohenschönhausen Nord,65631
0220,Kreuzberg Süd,64694
0370,Südlicher Prenzlauer Berg,61031
1220,Tegel,60664
0930,Treptow-Köpenick 3,59447
0350,Südliches Weißensee,57350
1240,Grüner Norden,57337
1210,Reinickendorf Ost,56796
0950,Treptow-Köpenick 5,55720
0440,Wilmersdorf Süd,54253
0840,Buckow Nord/Rudow,53788
0750,Mariendorf,53616
0720,Schöneberg Süd,52977
0240,Friedrichshain West,52843
1120,Hohenschönhausen Süd,51968
1260,Märkisches Viertel,50548
1040,Kaulsdorf/Mahlsdorf,50124
0710,Schöneberg Nord,50035
0320,Nördliches Pankow,48949
1250,Wittenau/Borsigwalde,48851
0730,Friedenau,47038
0230,Kreuzberg Ost,45865
0210,Kreuzberg Nord,41369
0420,Charlottenburg West,41101
0940,Treptow-Köpenick 4,39371
0830,Gropiusstadt,38728
0330,Nördliches Weißensee,37544
1150,Lichtenberg Süd,36309
0530,Haselhorst / Siemensstadt,33169
1030,Biesdorf,30989
0540,Gatow / Kladow,20051
0410,Charlottenburg Nord,19532
0310,Buch,17751
