pgr_id,pgr_name,ems_critical_mean_min,ems_critical_mean_sec
0230,Kreuzberg Ost,8,59
0110,Zentrum,9,34
0740,Tempelhof,9,57
0730,Friedenau,9,49
0720,Schöneberg Süd,9,18
0710,Schöneberg Nord,9,46
0610,Steglitz,9,57
0430,Charlottenburg Zentrum,9,38
0370,Südlicher Prenzlauer Berg,9,57
0450,Wilmersdorf Zentrum,9,19
0220,Kreuzberg Süd,9,41
0140,Wedding,9,39
0210,Kreuzberg Nord,9,19
0250,Friedrichshain Ost,9,47
0240,Friedrichshain West,9,9
0120,Moabit,9,43
0130,Gesundbrunnen,10,5
1250,Wittenau/Borsigwalde,10,40
0810,Neukölln,10,26
0310,Buch,10,59
1120,Hohenschönhausen Süd,10,43
0530,Haselhorst / Siemensstadt,10,32
0510,Spandau Mitte / Nord,10,22
0830,Gropiusstadt,10,48
0840,Buckow Nord/Rudow,10,50
1210,Reinickendorf Ost,10,29
0360,Nördlicher Prenzlauer Berg,10,13
0350,Südliches Weißensee,10,18
0340,Südliches Pankow,10,42
1220,Tegel,10,49
1130,Lichtenberg Nord,10,4
0750,Mariendorf,10,22
1010,Marzahn,11,6
1020,Hellersdorf,11,27
1240,Grüner Norden,11,52
1110,Hohenschönhausen Nord,11,35
0950,Treptow-Köpenick 5,11,2
1140,Lichtenberg Mitte,11,9
1150,Lichtenberg Süd,11,27
1030,Biesdorf,11,3
0940,Treptow-Köpenick 4,11,41
0640,Zehlendorf Nord/Wannsee,11,23
0920,Treptow-Köpenick 2,11,25
0910,Treptow-Köpenick 1,11,19
0820,Britz/Buckow,11,23
0760,Marienfelde / Lichtenrade,11,46
0630,Zehlendorf Süd/Lichterfelde West,11,5
0620,Lankwitz/Lichterfelde Ost,11,6
0540,Gatow / Kladow,11,29
0520,Wilhelmstadt / Staaken,11,11
0440,Wilmersdorf Süd,11,22
0420,Charlottenburg West,11,20
0410,Charlottenburg Nord,11,28
0330,Nördliches Weißensee,11,34
0320,Nördliches Pankow,11,59
1260,Märkisches Viertel,11,19
1040,Kaulsdorf/Mahlsdorf,12,30
0930,Treptow-Köpenick 3,12,58
