pgr_area_id,PGR_NAME,percent_timegoal_ems_critical,percent_timegoal_fire
0110,Zentrum,87.6,49.4
0120,Moabit,87.8,42.4
0130,Gesundbrunnen,88.4,25.900000000000002
0140,Wedding,88.8,26.1
0210,Kreuzberg Nord,88.1,30.0
0220,Kreuzberg Süd,87.1,24.9
0230,Kreuzberg Ost,85.9,19.6
0240,Friedrichshain West,88.2,38.7
0250,Friedrichshain Ost,87.5,26.5
0310,Buch,77.3,23.0
0320,Nördliches Pankow,87.1,20.5
0330,Nördliches Weißensee,85.9,19.8
0340,Südliches Pankow,88.3,20.4
0350,Südliches Weißensee,90.8,22.8
0360,Nördlicher Prenzlauer Berg,89.0,21.3
0370,Südlicher Prenzlauer Berg,88.2,24.6
0410,Charlottenburg Nord,88.4,17.299999999999997
0420,Charlottenburg West,87.7,24.099999999999998
0430,Charlottenburg Zentrum,89.0,33.300000000000004
0440,Wilmersdorf Süd,88.4,22.3
0450,Wilmersdorf Zentrum,88.1,34.9
0510,Spandau Mitte / Nord,87.1,16.900000000000002
0520,Wilhelmstadt / Staaken,86.2,25.8
0530,Haselhorst / Siemensstadt,88.3,36.4
0540,Gatow / Kladow,74.2,23.1
0610,Steglitz,88.4,23.7
0620,Lankwitz/Lichterfelde Ost,87.8,18.3
0630,Zehlendorf Süd/Lichterfelde West,87.5,22.1
0640,Zehlendorf Nord/Wannsee,85.7,19.5
0710,Schöneberg Nord,87.6,33.2
0720,Schöneberg Süd,89.9,29.9
0730,Friedenau,88.2,32.4
0740,Tempelhof,89.9,30.599999999999998
0750,Mariendorf,90.4,24.4
0760,Marienfelde / Lichtenrade,86.4,22.0
0810,Neukölln,88.6,22.3
0820,Britz/Buckow,90.3,21.4
0830,Gropiusstadt,89.3,25.6
0840,Buckow Nord/Rudow,87.2,25.0
0910,Treptow-Köpenick 1,89.9,16.7
0920,Treptow-Köpenick 2,88.5,19.5
0930,Treptow-Köpenick 3,83.89999999999999,23.7
0940,Treptow-Köpenick 4,86.5,15.299999999999999
0950,Treptow-Köpenick 5,84.5,13.600000000000001
1010,Marzahn,91.8,22.8
1020,Hellersdorf,89.3,17.299999999999997
1030,Biesdorf,92.4,27.500000000000004
1040,Kaulsdorf/Mahlsdorf,88.0,22.1
1110,Hohenschönhausen Nord,89.9,21.2
1120,Hohenschönhausen Süd,90.4,26.200000000000003
1130,Lichtenberg Nord,90.8,23.0
1140,Lichtenberg Mitte,89.8,28.7
1150,Lichtenberg Süd,86.1,23.9
1210,Reinickendorf Ost,89.4,27.700000000000003
1220,Tegel,89.4,25.2
1240,Grüner Norden,84.8,11.799999999999999
1250,Wittenau/Borsigwalde,88.1,19.8
1260,Märkisches Viertel,87.7,33.7
